pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.025993299670517445,,0.0119739999063313,0.025993299670517445,1.0086702997796237,1.0086702997796237,1.0086702997796237,1.0086702997796237,1.0253049996681511,2.0085050999186933,2.0085050999186933,3.433940399903804,x,1,1.4161921995691955,None,p1,001,2024-10-17_10h24.50.058,motor seq3,2024.1.5,None,2024-10-17 10h24.57.848072 +0530,
150,v,0,1,1,1,,,,,3.441985299810767,,3.4360302998684347,3.441985299810767,4.441880899947137,4.441880899947137,4.441880899947137,4.441880899947137,4.441880899947137,5.442266499623656,5.442266499623656,5.793296499643475,v,1,0.33535159984603524,None,p1,001,2024-10-17_10h24.50.058,motor seq3,2024.1.5,None,2024-10-17 10h24.57.848072 +0530,
50,c,0,2,2,2,,,,,5.808577599935234,,5.794123899657279,5.808577599935234,6.8085493999533355,6.8085493999533355,6.8085493999533355,6.8085493999533355,6.8085493999533355,7.808526299893856,7.808526299893856,8.193270299583673,c,1,0.38119000010192394,None,p1,001,2024-10-17_10h24.50.058,motor seq3,2024.1.5,None,2024-10-17 10h24.57.848072 +0530,
-150,z,0,3,3,3,,,,,8.20889569958672,,8.194108999799937,8.20889569958672,9.208657899871469,9.208657899871469,9.208657899871469,9.208657899871469,9.208657899871469,10.208737699780613,10.208737699780613,10.645881799980998,z,1,0.4318186999298632,None,p1,001,2024-10-17_10h24.50.058,motor seq3,2024.1.5,None,2024-10-17 10h24.57.848072 +0530,
-50,x,1,0,4,0,,,,,10.65911789983511,,10.646657599601895,10.65911789983511,11.658708199858665,11.658708199858665,11.658708199858665,11.658708199858665,11.658708199858665,12.659191899932921,12.659191899932921,13.342894099652767,x,1,0.6739558996632695,None,p1,001,2024-10-17_10h24.50.058,motor seq3,2024.1.5,None,2024-10-17 10h24.57.848072 +0530,
150,v,1,1,5,1,,,,,13.358709899708629,,13.343647699803114,13.358709899708629,14.358676699921489,14.358676699921489,14.358676699921489,14.358676699921489,14.358676699921489,15.358878499828279,15.358878499828279,15.7433324996382,v,1,0.3718849001452327,None,p1,001,2024-10-17_10h24.50.058,motor seq3,2024.1.5,None,2024-10-17 10h24.57.848072 +0530,
50,c,1,2,6,2,,,,,15.758902399800718,,15.744310299865901,15.758902399800718,16.75882099987939,16.75882099987939,16.75882099987939,16.75882099987939,16.75882099987939,17.75875429995358,17.75875429995358,18.343363899737597,c,1,0.5732983001507819,None,p1,001,2024-10-17_10h24.50.058,motor seq3,2024.1.5,None,2024-10-17 10h24.57.848072 +0530,
-150,z,1,3,7,3,,,,,18.358548399992287,,18.344171499833465,18.358548399992287,19.358531599864364,19.358531599864364,19.358531599864364,19.358531599864364,19.358531599864364,20.35920359985903,20.35920359985903,20.64381659962237,z,1,0.26834690012037754,None,p1,001,2024-10-17_10h24.50.058,motor seq3,2024.1.5,None,2024-10-17 10h24.57.848072 +0530,
-50,x,2,0,8,0,,,,,20.659020099788904,,20.644598599988967,20.659020099788904,21.658773799892515,21.658773799892515,21.658773799892515,21.658773799892515,21.658773799892515,22.656083299778402,22.656083299778402,22.95744239958003,x,1,0.28702390007674694,None,p1,001,2024-10-17_10h24.50.058,motor seq3,2024.1.5,None,2024-10-17 10h24.57.848072 +0530,
150,v,2,1,9,1,,,,,22.97276689996943,,22.958349599968642,22.97276689996943,23.972605499904603,23.972605499904603,23.972605499904603,23.972605499904603,23.972605499904603,24.972687899600714,24.972687899600714,25.523675499949604,v,1,0.5389886000193655,None,p1,001,2024-10-17_10h24.50.058,motor seq3,2024.1.5,None,2024-10-17 10h24.57.848072 +0530,
