trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.033418300008634105,,0.01810990000376478,0.033418300008634105,0.999972899997374,1.0332937999919523,8.234008300001733,down,1,7.224340100015979,None,2,331887,001,2024-09-13_11h32.00.068,signal detection,2024.1.5,None,2024-09-13 11h32.06.718499 +0530,
1,0,1,0,8.250205899996217,,8.235892099997727,8.250205899996217,9.249700799991842,9.249700799991842,10.43382959999144,down,1,1.1676440000010189,None,-5,331887,001,2024-09-13_11h32.00.068,signal detection,2024.1.5,None,2024-09-13 11h32.06.718499 +0530,
2,0,2,0,10.449646399996709,,10.434366200002842,10.449646399996709,11.433258799981559,11.449779599992326,12.801092499983497,down,1,1.365575199975865,None,3,331887,001,2024-09-13_11h32.00.068,signal detection,2024.1.5,None,2024-09-13 11h32.06.718499 +0530,
3,0,3,0,12.816314700001385,,12.801634700008435,12.816314700001385,13.816415699984645,13.816415699984645,14.617263599997386,up,1,0.7947673999879044,None,0,331887,001,2024-09-13_11h32.00.068,signal detection,2024.1.5,None,2024-09-13 11h32.06.718499 +0530,
4,0,4,0,14.632998699991731,,14.61780059998273,14.632998699991731,15.633034400001634,15.633034400001634,16.934472299995832,down,1,1.293939600000158,None,-3,331887,001,2024-09-13_11h32.00.068,signal detection,2024.1.5,None,2024-09-13 11h32.06.718499 +0530,
5,0,5,0,16.950033600005554,,16.93499909999082,16.950033600005554,17.949790199985728,17.949790199985728,18.750652499991702,up,1,0.7946338000183459,None,0,331887,001,2024-09-13_11h32.00.068,signal detection,2024.1.5,None,2024-09-13 11h32.06.718499 +0530,
6,0,6,0,18.766388699994422,,18.751176599995233,18.766388699994422,19.766697899991414,19.766697899991414,20.600565100001404,up,1,0.8324003999878187,None,0,331887,001,2024-09-13_11h32.00.068,signal detection,2024.1.5,None,2024-09-13 11h32.06.718499 +0530,
7,0,7,0,20.616280099988217,,20.60107499998412,20.616280099988217,21.600034400005825,21.61664359999122,22.084514699992724,up,1,0.4805894999881275,None,0,331887,001,2024-09-13_11h32.00.068,signal detection,2024.1.5,None,2024-09-13 11h32.06.718499 +0530,
8,0,8,0,22.099667600006796,,22.085035800002515,22.099667600006796,23.099802099983208,23.099802099983208,23.550334400002612,up,1,0.4390551999968011,None,0,331887,001,2024-09-13_11h32.00.068,signal detection,2024.1.5,None,2024-09-13 11h32.06.718499 +0530,
9,0,9,0,23.566697300004307,,23.550880399998277,23.566697300004307,24.549950899992837,24.566627599997446,25.050248599989573,up,0,0.4916323000215925,None,-2,331887,001,2024-09-13_11h32.00.068,signal detection,2024.1.5,None,2024-09-13 11h32.06.718499 +0530,
