trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.02572939998935908,,0.011220299988053739,0.02572939998935908,1.011922699981369,1.0287100999848917,2.087742200004868,up,1,1.0023552000056952,None,0,756509,001,2024-09-13_11h27.40.441,signal detection,2024.1.5,None,2024-09-13 11h27.52.286748 +0530,
1,0,1,0,2.1090863999852445,,2.0893187999899965,2.1090863999852445,3.09261609998066,3.1091529999976046,3.593316699989373,up,1,0.4903868999972474,None,0,756509,001,2024-09-13_11h27.40.441,signal detection,2024.1.5,None,2024-09-13 11h27.52.286748 +0530,
2,0,2,0,3.609126399998786,,3.59381150000263,3.609126399998786,4.609263399994234,4.609263399994234,5.343086899985792,up,1,0.7319346999865957,None,0,756509,001,2024-09-13_11h27.40.441,signal detection,2024.1.5,None,2024-09-13 11h27.52.286748 +0530,
3,0,3,0,5.3589801999914926,,5.343603299988899,5.3589801999914926,6.35901179999928,6.35901179999928,9.860152899986133,up,0,3.4902856000117026,None,3,756509,001,2024-09-13_11h27.40.441,signal detection,2024.1.5,None,2024-09-13 11h27.52.286748 +0530,
4,0,4,0,9.875883999979123,,9.860662699997192,9.875883999979123,10.875830000004498,10.875830000004498,11.526802599983057,up,1,0.6349417000019457,None,0,756509,001,2024-09-13_11h27.40.441,signal detection,2024.1.5,None,2024-09-13 11h27.52.286748 +0530,
5,0,5,0,11.542593399994075,,11.527312499994878,11.542593399994075,12.542598699976224,12.542598699976224,12.993361699976958,up,0,0.44117460001143627,None,-3,756509,001,2024-09-13_11h27.40.441,signal detection,2024.1.5,None,2024-09-13 11h27.52.286748 +0530,
6,0,6,0,13.009178599982988,,12.99385909998091,13.009178599982988,14.009215300000506,14.009215300000506,14.560587199986912,up,1,0.5469014999980573,None,0,756509,001,2024-09-13_11h27.40.441,signal detection,2024.1.5,None,2024-09-13 11h27.52.286748 +0530,
7,0,7,0,14.576274799997918,,14.561667699977988,14.576274799997918,15.575664699979825,15.575664699979825,16.02615119999973,up,1,0.44734700000844896,None,0,756509,001,2024-09-13_11h27.40.441,signal detection,2024.1.5,None,2024-09-13 11h27.52.286748 +0530,
8,0,8,0,16.042610599979525,,16.026692199986428,16.042610599979525,17.025600699998904,17.04224339997745,17.593427499989048,up,1,0.5622542999917641,None,0,756509,001,2024-09-13_11h27.40.441,signal detection,2024.1.5,None,2024-09-13 11h27.52.286748 +0530,
9,0,9,0,17.608842599991476,,17.593996399984462,17.608842599991476,18.609316399990348,18.609316399990348,19.21002959998441,up,0,0.5836649999837391,None,-2,756509,001,2024-09-13_11h27.40.441,signal detection,2024.1.5,None,2024-09-13 11h27.52.286748 +0530,
