seq,t,key_resp.keys,key_resp.rt,correct,,,
,,,,,,,
patterned,1,1,0.809887600131333,1,,,
patterned,3,3,0.786743799922988,1,,,
patterned,2,2,1.07646309980191,1,,,
patterned,4,4,0.831776199862361,1,,,
patterned,3,3,1.16653049993329,1,,,
patterned,4,4,0.906690599862486,1,,random,0.656630992839512
random,2,2,0.800918699940667,1,,patterned,0.534916048834295
patterned,1,1,0.923704100074247,1,,,
patterned,3,3,0.536277299979702,1,,,
patterned,2,2,0.5466062000487,1,,,
patterned,4,4,0.574465899961069,1,,,
patterned,3,3,0.610873600002378,1,,,
patterned,4,4,0.4980663000606,1,,,
random,4,4,0.49541679979302,1,,,
patterned,1,1,0.550837300019339,1,,,
patterned,3,3,0.406415599863976,1,,,
patterned,2,2,0.489332700148225,1,,,
patterned,4,4,0.528170700185001,1,,,
patterned,3,3,0.609906200086698,1,,,
patterned,4,4,0.521615599980578,1,,,
random,1,1,0.556259699864313,1,,,
patterned,1,1,0.603931599995121,1,,,
patterned,3,3,0.882955400040373,1,,,
patterned,2,2,0.524343299912289,1,,,
patterned,4,4,0.419612400000915,1,,,
patterned,3,4,0.390239899978042,1,,,
patterned,4,4,1.09589340002276,0,,,
random,3,3,0.546984700020403,1,,,
patterned,1,1,0.400850200094283,1,,,
patterned,3,3,0.364989399909973,1,,,
patterned,2,2,0.462989300023764,1,,,
patterned,4,4,0.356437899870798,1,,,
patterned,3,3,0.395773200085387,1,,,
patterned,4,4,0.431794899981469,1,,,
random,4,4,0.449488100130111,1,,,
patterned,1,1,0.425344299990684,1,,,
patterned,3,3,0.396700200159103,1,,,
patterned,2,2,0.322738799965009,1,,,
patterned,4,4,0.289169699884951,1,,,
patterned,3,3,0.370042899856344,1,,,
patterned,4,4,0.471095300046727,1,,,
random,4,4,0.754107699962333,1,,,
patterned,1,1,0.462009400129318,1,,,
patterned,3,3,0.408048999961466,1,,,
patterned,2,2,0.394848400028422,1,,,
patterned,4,4,0.401057200040668,1,,,
patterned,3,3,0.333319499855861,1,,,
patterned,4,4,0.829455000115559,1,,,
random,4,4,0.875932099996135,1,,,
patterned,1,1,0.946718000108376,1,,,
patterned,3,3,0.503477799938992,1,,,
patterned,2,2,0.595594299957156,1,,,
patterned,4,4,0.312305300030857,1,,,
patterned,3,3,0.526721999980509,1,,,
patterned,4,4,0.882325599901378,1,,,
random,1,1,0.488295000046492,1,,,
patterned,1,1,0.471954799955711,1,,,
patterned,3,3,0.451602000044659,1,,,
patterned,2,2,0.488571000052616,1,,,
patterned,4,4,0.990209999959916,1,,,
patterned,3,3,0.500431600026786,1,,,
patterned,4,4,0.597021700115874,1,,,
random,1,1,0.774078400107101,1,,,
patterned,1,1,0.658125599846244,1,,,
patterned,3,3,0.675864899996668,1,,,
patterned,2,2,0.605357399908826,1,,,
patterned,4,4,0.374870400177315,1,,,
patterned,3,3,0.58313909987919,1,,,
patterned,4,4,0.576366999885067,1,,,
random,4,4,0.627671800088137,1,,,
patterned,1,1,0.61984429997392,1,,,
patterned,3,3,0.662359200185165,1,,,
patterned,2,2,0.665891300188378,1,,,
patterned,4,4,0.593877099920064,1,,,
patterned,3,3,0.731132599990815,1,,,
patterned,4,4,0.616432399954647,1,,,
random,4,4,1.25294190016575,1,,,
patterned,1,1,0.674641399877146,1,,,
patterned,3,3,0.247051399899647,1,,,
patterned,2,2,0.529929299838841,1,,,
patterned,4,4,0.1976532000117,1,,,
patterned,3,3,0.36612859996967,1,,,
patterned,4,4,0.270435999846086,1,,,
random,3,3,0.763284199871123,1,,,
patterned,1,1,0.586970900185406,1,,,
patterned,3,3,0.815935700200498,1,,,
patterned,2,2,0.358182600000873,1,,,
patterned,4,4,0.260149099864066,1,,,
patterned,3,3,0.285050600068644,1,,,
patterned,4,4,0.303937399992719,1,,,
random,2,2,0.434498799964786,1,,,
patterned,1,1,0.566756200045347,1,,,
patterned,3,3,0.279081800021231,1,,,
patterned,2,2,0.333522500004619,1,,,
patterned,4,4,0.275631099939346,1,,,
patterned,3,3,0.401375000132248,1,,,
patterned,4,4,0.255503199994564,1,,,
random,4,4,0.372955999802798,1,,,
patterned,1,1,0.293988100020215,1,,,
patterned,3,3,0.262656799983233,1,,,
patterned,2,2,0.277194799855351,1,,,
patterned,4,4,0.257452600169927,1,,,
patterned,3,3,0.275307399919257,1,,,
patterned,4,4,0.275169200031087,1,,,
random,4,4,0.465760899940506,1,,,
,,,,99,,,
