seq,target,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,sq1.started,sq2.started,sq3.started,sq4.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
patterned,1,0,0,0,3,0,0,0,0,0.06820119987241924,,0.04801580007188022,0.06820119987241924,0.06820119987241924,0.06820119987241924,0.06820119987241924,0.06820119987241924,1.6242271999362856,1,1.4803389001172036,None,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
patterned,3,0,0,0,3,0,1,1,1,1.6379267999436706,,1.6258705998770893,1.6379267999436706,1.6379267999436706,1.6379267999436706,1.6379267999436706,1.6379267999436706,2.1062205999623984,4,0.4560194001533091,None,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
patterned,2,0,0,0,3,0,2,2,2,2.122042000060901,,2.1066097000148147,2.122042000060901,2.122042000060901,2.122042000060901,2.122042000060901,2.122042000060901,2.3558936999179423,2,0.2276345998980105,None,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
patterned,4,0,0,0,3,0,3,3,3,2.371602199971676,,2.356264099944383,2.371602199971676,2.371602199971676,2.371602199971676,2.371602199971676,2.371602199971676,2.556358200032264,3,0.16865150001831353,None,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
random,2,0,0,0,3,,,,,,,,,,,,,,,,,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
patterned,1,0,1,1,1,0,0,0,0,2.5733993998728693,,2.5602241999004036,2.5733993998728693,2.5733993998728693,2.5733993998728693,2.5733993998728693,2.5733993998728693,2.8731561999302357,1,0.28857980016618967,None,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
patterned,3,0,1,1,1,0,1,1,1,2.8888459000736475,,2.87371479999274,2.8888459000736475,2.8888459000736475,2.8888459000736475,2.8888459000736475,2.8888459000736475,3.105938700027764,4,0.20488930004648864,None,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
patterned,2,0,1,1,1,0,2,2,2,3.1218749000690877,,3.106338599929586,3.1218749000690877,3.1218749000690877,3.1218749000690877,3.1218749000690877,3.1218749000690877,3.389463200001046,2,0.2576228999532759,None,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
patterned,4,0,1,1,1,0,3,3,3,3.4053606998641044,,3.389897200046107,3.4053606998641044,3.4053606998641044,3.4053606998641044,3.4053606998641044,3.4053606998641044,3.5742413999978453,3,0.16553830006159842,None,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
random,1,0,1,1,1,,,,,,,,,,,,,,,,,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
patterned,1,0,2,2,2,0,0,0,0,3.6015548000577837,,3.579005799954757,3.6015548000577837,3.6015548000577837,3.6015548000577837,3.6015548000577837,3.6015548000577837,4.819341300055385,1,1.214676900068298,None,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
patterned,3,0,2,2,2,0,1,1,1,4.834784199949354,,4.820008900016546,4.834784199949354,4.834784199949354,4.834784199949354,4.834784199949354,4.834784199949354,5.452511199982837,2,0.6011410001665354,None,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
patterned,2,0,2,2,2,0,2,2,2,5.468242099974304,,5.453052900033072,5.468242099974304,5.468242099974304,5.468242099974304,5.468242099974304,5.468242099974304,10.557337499922141,1,5.078794299857691,None,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
patterned,4,0,2,2,2,0,3,3,3,10.572534099919721,,10.557924099965021,10.572534099919721,10.572534099919721,10.572534099919721,10.572534099919721,10.572534099919721,11.41988390008919,2,0.8363487999886274,None,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
random,4,0,2,2,2,,,,,,,,,,,,,,,,,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
patterned,1,0,3,3,0,0,0,0,0,11.437155399937183,,11.425112599972636,11.437155399937183,11.437155399937183,11.437155399937183,11.437155399937183,11.437155399937183,12.189744099974632,1,0.7435016001109034,None,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
patterned,3,0,3,3,0,0,1,1,1,12.20536380005069,,12.190473299939185,12.20536380005069,12.20536380005069,12.20536380005069,12.20536380005069,12.20536380005069,13.83991610002704,4,1.6287297001108527,None,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
patterned,2,0,3,3,0,0,2,2,2,13.854804599890485,,13.840469300048426,13.854804599890485,13.854804599890485,13.854804599890485,13.854804599890485,13.854804599890485,23.712945299921557,2,9.848186300136149,None,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
patterned,4,0,3,3,0,0,3,3,3,23.73516929987818,,23.713637999957427,23.73516929987818,23.73516929987818,23.73516929987818,23.73516929987818,23.73516929987818,23.90267329989001,3,0.16411749995313585,None,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
random,3,0,3,3,0,,,,,,,,,,,,,,,,,028448,001,2024-12-03_21h49.42.754,solo_project,2024.1.5,None,2024-12-03 21h49.50.394178 +0530,
,,,,,,,,,,23.91849650000222,,23.907386200036854,23.91849650000222,23.91849650000222,23.91849650000222,23.91849650000222,23.91849650000222,,,,,,,,,,,,
