reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
27,50,21,0,0,0,2,0.325405499999988,,0.018909000000121523,0.325405499999988,1.0447833000000628,1.0447833000000628,1.3280856000001222,3.5035052999999152,t,2.436528400000043,None,p1,001,2024-11-21_16h32.35.105,delay discounting,2024.1.5,None,2024-11-21 16h32.53.546821 +0530,
15,35,13,0,1,1,1,3.525157600000057,,3.505447100000083,3.525157600000057,4.508563500000037,4.508563500000037,4.525539199999912,10.901807899999994,t,6.378430200000139,None,p1,001,2024-11-21_16h32.35.105,delay discounting,2024.1.5,None,2024-11-21 16h32.53.546821 +0530,
49,60,89,0,2,2,4,10.94204149999996,,10.902883900000006,10.94204149999996,11.908638600000131,11.908638600000131,11.942162399999916,16.36020839999992,t,4.436686799999961,None,p1,001,2024-11-21_16h32.35.105,delay discounting,2024.1.5,None,2024-11-21 16h32.53.546821 +0530,
67,75,119,0,3,3,5,16.375157599999966,,16.36128090000011,16.375157599999966,17.37531080000008,17.37531080000008,17.37531080000008,22.72692989999996,t,5.338204299999916,None,p1,001,2024-11-21_16h32.35.105,delay discounting,2024.1.5,None,2024-11-21 16h32.53.546821 +0530,
40,55,62,0,4,4,3,22.741927499999974,,22.72800129999996,22.741927499999974,23.741978300000028,23.741978300000028,23.741978300000028,26.776959900000065,t,3.023991600000045,None,p1,001,2024-11-21_16h32.35.105,delay discounting,2024.1.5,None,2024-11-21 16h32.53.546821 +0530,
11,30,7,0,5,5,0,26.79207650000012,,26.778038899999956,26.79207650000012,27.79216919999999,27.79216919999999,27.79216919999999,29.82697619999999,l,2.023902899999939,None,p1,001,2024-11-21_16h32.35.105,delay discounting,2024.1.5,None,2024-11-21 16h32.53.546821 +0530,
78,80,162,0,6,6,6,29.84181119999994,,29.828052900000102,29.84181119999994,30.841969300000073,30.841969300000073,30.841969300000073,33.976855099999966,t,3.128546599999936,None,p1,001,2024-11-21_16h32.35.105,delay discounting,2024.1.5,None,2024-11-21 16h32.53.546821 +0530,
67,75,119,1,0,7,5,33.99188460000005,,33.977959000000055,33.99188460000005,34.991939799999955,34.991939799999955,34.991939799999955,40.96033340000008,t,5.964246099999855,None,p1,001,2024-11-21_16h32.35.105,delay discounting,2024.1.5,None,2024-11-21 16h32.53.546821 +0530,
49,60,89,1,1,8,4,40.97520499999996,,40.961409199999935,40.97520499999996,41.97538060000011,41.97538060000011,41.97538060000011,45.74348480000003,t,3.7580295000000206,None,p1,001,2024-11-21_16h32.35.105,delay discounting,2024.1.5,None,2024-11-21 16h32.53.546821 +0530,
40,55,62,1,2,9,3,45.75844200000006,,45.74455869999997,45.75844200000006,46.758501199999955,46.758501199999955,46.758501199999955,48.46018929999991,l,1.6892600999999559,None,p1,001,2024-11-21_16h32.35.105,delay discounting,2024.1.5,None,2024-11-21 16h32.53.546821 +0530,
