reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,55,62,0,0,0,3,0.11894419999998718,,0.03066680000006272,0.11894419999998718,1.0021266999999625,1.0021266999999625,1.1188039999999546,2.6075872999999774,t,1.5590174999999817,None,p2,001,2024-11-21_16h42.01.255,delay discounting,2024.1.5,None,2024-11-21 16h42.14.733938 +0530,
11,30,7,0,1,1,0,2.6355616999999256,,2.609138199999961,2.6355616999999256,3.619027499999902,3.619027499999902,3.635456299999987,5.154339200000095,l,1.5327747999999701,None,p2,001,2024-11-21_16h42.01.255,delay discounting,2024.1.5,None,2024-11-21 16h42.14.733938 +0530,
78,80,162,0,2,2,6,5.1699837000001025,,5.15545330000009,5.1699837000001025,6.169796800000086,6.169796800000086,6.169796800000086,7.52119760000005,t,1.3440707999998267,None,p2,001,2024-11-21_16h42.01.255,delay discounting,2024.1.5,None,2024-11-21 16h42.14.733938 +0530,
49,60,89,0,3,3,4,7.5363406999999825,,7.521861299999955,7.5363406999999825,8.53665490000003,8.53665490000003,8.53665490000003,8.87154489999989,l,0.3262677000000167,None,p2,001,2024-11-21_16h42.01.255,delay discounting,2024.1.5,None,2024-11-21 16h42.14.733938 +0530,
27,50,21,0,4,4,2,8.887373499999967,,8.872607600000038,8.887373499999967,9.886948399999937,9.886948399999937,9.886948399999937,10.288476499999888,t,0.39440289999993183,None,p2,001,2024-11-21_16h42.01.255,delay discounting,2024.1.5,None,2024-11-21 16h42.14.733938 +0530,
15,35,13,0,5,5,1,10.303582600000027,,10.289565999999922,10.303582600000027,11.303261300000031,11.303261300000031,11.303261300000031,12.171782200000052,l,0.8580517999998847,None,p2,001,2024-11-21_16h42.01.255,delay discounting,2024.1.5,None,2024-11-21 16h42.14.733938 +0530,
67,75,119,0,6,6,5,12.18659589999993,,12.172899299999926,12.18659589999993,13.186689299999898,13.186689299999898,13.186689299999898,14.250880999999936,l,1.0600365000000238,None,p2,001,2024-11-21_16h42.01.255,delay discounting,2024.1.5,None,2024-11-21 16h42.14.733938 +0530,
15,35,13,1,0,7,1,14.26148820000003,,14.251563600000054,14.26148820000003,15.26154849999989,15.26154849999989,15.26154849999989,15.746559200000092,t,0.47254350000002887,None,p2,001,2024-11-21_16h42.01.255,delay discounting,2024.1.5,None,2024-11-21 16h42.14.733938 +0530,
11,30,7,1,1,8,0,15.761516799999981,,15.747655899999927,15.761516799999981,16.761593100000027,16.761593100000027,16.761593100000027,16.78036750000001,l,0.0037813999999798398,None,p2,001,2024-11-21_16h42.01.255,delay discounting,2024.1.5,None,2024-11-21 16h42.14.733938 +0530,
49,60,89,1,2,9,4,16.795267700000068,,16.78173539999989,16.795267700000068,17.795325999999932,17.795325999999932,17.795325999999932,17.863739899999928,t,0.060668099999929836,None,p2,001,2024-11-21_16h42.01.255,delay discounting,2024.1.5,None,2024-11-21 16h42.14.733938 +0530,
27,50,21,1,3,10,2,17.879011799999944,,17.86484040000005,17.879011799999944,18.879012500000044,18.879012500000044,18.879012500000044,19.497264300000097,l,0.6111810999998397,None,p2,001,2024-11-21_16h42.01.255,delay discounting,2024.1.5,None,2024-11-21 16h42.14.733938 +0530,
67,75,119,1,4,11,5,19.51207959999988,,19.49834349999992,19.51207959999988,20.512965200000053,20.512965200000053,20.512965200000053,21.481850200000054,t,0.9643260999998802,None,p2,001,2024-11-21_16h42.01.255,delay discounting,2024.1.5,None,2024-11-21 16h42.14.733938 +0530,
40,55,62,1,5,12,3,21.500702600000068,,21.482966999999917,21.500702600000068,22.4835657000001,22.4835657000001,22.50085009999998,23.43525569999997,l,0.9370566000000053,None,p2,001,2024-11-21_16h42.01.255,delay discounting,2024.1.5,None,2024-11-21 16h42.14.733938 +0530,
78,80,162,1,6,13,6,23.45020260000001,,23.436373700000104,23.45020260000001,24.450280600000042,24.450280600000042,24.450280600000042,24.618763299999955,t,0.16641839999988406,None,p2,001,2024-11-21_16h42.01.255,delay discounting,2024.1.5,None,2024-11-21 16h42.14.733938 +0530,
67,75,119,2,0,14,5,24.63350360000004,,24.61983609999993,24.63350360000004,25.633612699999958,25.633612699999958,25.633612699999958,25.70205400000009,l,0.05436510000004091,None,p2,001,2024-11-21_16h42.01.255,delay discounting,2024.1.5,None,2024-11-21 16h42.14.733938 +0530,
27,50,21,2,1,15,2,25.717133099999955,,25.703739999999925,25.717133099999955,26.71725289999995,26.71725289999995,26.71725289999995,26.852426599999944,t,0.13308029999984683,None,p2,001,2024-11-21_16h42.01.255,delay discounting,2024.1.5,None,2024-11-21 16h42.14.733938 +0530,
78,80,162,2,2,16,6,26.867083399999956,,26.853522299999895,26.867083399999956,27.8670646999999,27.8670646999999,27.8670646999999,28.31905740000002,t,0.43652300000007926,None,p2,001,2024-11-21_16h42.01.255,delay discounting,2024.1.5,None,2024-11-21 16h42.14.733938 +0530,
