reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
11,30,7,0,0,0,0,0.08190299999978379,,0.013842199999999139,0.08190299999978379,1.0150582999999642,1.0150582999999642,1.0818628000001809,1.1877991999999722,l,0.15406080000002476,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
67,75,119,0,1,1,5,1.2054831000000377,,1.1893377999999757,1.2054831000000377,2.1886736000001292,2.1886736000001292,2.2050389000000905,2.4238553999998658,t,0.2201018999999178,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
78,80,162,0,2,2,6,2.4418086000000585,,2.425315999999839,2.4418086000000585,3.42504370000006,3.42504370000006,3.441823999999997,3.9937810999999783,l,0.5654011999999966,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
40,55,62,0,3,3,3,4.010804099999859,,3.9948623000000225,4.010804099999859,5.00243300000011,5.00243300000011,5.018796400000156,6.1373640000001615,t,1.1306987999996636,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
15,35,13,0,4,4,1,6.151970500000061,,6.138469600000008,6.151970500000061,7.152419900000041,7.152419900000041,7.152419900000041,7.454721999999947,l,0.2934178000000429,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
27,50,21,0,5,5,2,7.469031499999801,,7.45581409999977,7.469031499999801,8.46891689999984,8.46891689999984,8.46891689999984,8.720768099999987,t,0.24291839999978038,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
49,60,89,0,6,6,4,8.735406100000091,,8.721834899999976,8.735406100000091,9.735547400000087,9.735547400000087,9.735547400000087,10.121227600000111,l,0.3750369999997929,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
11,30,7,1,0,7,0,10.135975099999996,,10.122344800000064,10.135975099999996,11.13587920000009,11.13587920000009,11.13587920000009,12.621446699999979,l,1.4805922000000464,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
27,50,21,1,1,8,2,12.635803000000124,,12.62252929999977,12.635803000000124,13.635881000000154,13.635881000000154,13.635881000000154,14.2376663,t,0.5893958999999995,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
78,80,162,1,2,9,6,14.25244049999992,,14.238725799999884,14.25244049999992,15.252511799999866,15.252511799999866,15.252511799999866,15.588330999999926,l,0.3286771999996745,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
40,55,62,1,3,10,3,15.60255300000017,,15.589425799999844,15.60255300000017,16.602540299999873,16.602540299999873,16.602540299999873,16.80418869999994,t,0.1858222000000751,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
49,60,89,1,4,11,4,16.81908909999993,,16.805311000000074,16.81908909999993,17.819226199999775,17.819226199999775,17.819226199999775,18.72220100000004,l,0.8944750999999087,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
67,75,119,1,5,12,5,18.736458299999867,,18.723332000000028,18.736458299999867,19.7358291999999,19.7358291999999,19.7358291999999,20.16998710000007,l,0.4231442000000243,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
15,35,13,1,6,13,1,20.185972199999924,,20.170642499999758,20.185972199999924,21.185849099999814,21.185849099999814,21.185849099999814,21.52199329999985,t,0.3316893999999593,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
49,60,89,2,0,14,4,21.537225000000035,,21.523333099999945,21.537225000000035,22.537174699999923,22.537174699999923,22.537174699999923,22.772716200000104,l,0.22133530000019164,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
40,55,62,2,1,15,3,22.787008100000094,,22.774194799999805,22.787008100000094,23.786826999999903,23.786826999999903,23.786826999999903,24.171759100000145,l,0.3781228999996529,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
78,80,162,2,2,16,6,24.186840299999858,,24.17286180000019,24.186840299999858,25.18688549999979,25.18688549999979,25.18688549999979,25.438895299999785,t,0.23468709999997373,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
11,30,7,2,3,17,0,25.45347270000002,,25.43997330000002,25.45347270000002,26.45350409999992,26.45350409999992,26.45350409999992,26.671360299999833,l,0.21184219999986453,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
27,50,21,2,4,18,2,26.686850999999933,,26.672003700000005,26.686850999999933,27.686931000000186,27.686931000000186,27.686931000000186,28.122049399999923,l,0.4298839000002772,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
67,75,119,2,5,19,5,28.136795500000062,,28.12314779999997,28.136795500000062,29.13682639999979,29.13682639999979,29.13682639999979,30.238493800000015,l,1.0846627000000808,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
15,35,13,2,6,20,1,30.253522399999838,,30.239593299999797,30.253522399999838,31.25355099999979,31.25355099999979,31.25355099999979,32.33872070000007,l,1.0727933999996822,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
78,80,162,3,0,21,6,32.35353549999991,,32.33978789999992,32.35353549999991,33.35347300000012,33.35347300000012,33.35347300000012,34.27238959999977,l,0.9141729999996642,None,p3,001,2024-11-21_16h45.37.351,delay discounting,2024.1.5,None,2024-11-21 16h45.58.512503 +0530,
