reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,0,0,0,4,0.23913879999599885,,0.02726099999563303,0.23913879999599885,1.0077289999971981,1.0077289999971981,1.2405961999975261,6.377312099997653,l,5.290228700003354,None,93381,001,2024-11-15_11h02.38.061,delay discounting,2024.1.5,None,2024-11-15 11h02.45.890198 +0530,
40,55,62,0,1,1,3,6.388828800001647,,6.378834600000118,6.388828800001647,7.390763800001878,7.390763800001878,7.390763800001878,9.27507599999808,t,1.8812675000008312,None,93381,001,2024-11-15_11h02.38.061,delay discounting,2024.1.5,None,2024-11-15 11h02.45.890198 +0530,
78,80,162,0,2,2,6,9.290539000001445,,9.27545249999821,9.290539000001445,10.290587299998151,10.290587299998151,10.290587299998151,12.407927599997493,l,2.109328099999402,None,93381,001,2024-11-15_11h02.38.061,delay discounting,2024.1.5,None,2024-11-15 11h02.45.890198 +0530,
67,75,119,0,3,3,5,12.423911300000327,,12.408274199995503,12.423911300000327,13.423903499999142,13.423903499999142,13.423903499999142,14.524786199996015,l,1.098949499995797,None,93381,001,2024-11-15_11h02.38.061,delay discounting,2024.1.5,None,2024-11-15 11h02.45.890198 +0530,
27,50,21,0,4,4,2,14.540521499999159,,14.525156499999866,14.540521499999159,15.524643699995067,15.524643699995067,15.541124499999569,17.70820349999849,t,2.167353999997431,None,93381,001,2024-11-15_11h02.38.061,delay discounting,2024.1.5,None,2024-11-15 11h02.45.890198 +0530,
15,35,13,0,5,5,1,17.723890599998413,,17.70854519999557,17.723890599998413,18.707526999998663,18.707526999998663,18.72395079999842,19.50851159999729,l,0.7851987000030931,None,93381,001,2024-11-15_11h02.38.061,delay discounting,2024.1.5,None,2024-11-15 11h02.45.890198 +0530,
11,30,7,0,6,6,0,19.524144299997715,,19.508857799999532,19.524144299997715,20.52386380000098,20.52386380000098,20.52386380000098,21.641460499995446,t,1.1119123000025866,None,93381,001,2024-11-15_11h02.38.061,delay discounting,2024.1.5,None,2024-11-15 11h02.45.890198 +0530,
