study_word,test_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Study_Phase.started,StudyText.started,Studyslider.started,Study_Phase.stopped,Studyslider.response,Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit.started,testmouse.started,Test_Phase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,t_hi_t,,,,,0,0,0,7,16.260157299984712,,,,,,,,16.23082489997614,16.260157299984712,16.260157299984712,16.260157299984712,0.011377800023183227,21.65681339998264,tshirt,[-0.025],[-0.3037037037037037],[1],[0],[0],[5.422471500001848],['submit'],,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
,l_pt_p,,,,,0,1,1,5,21.672123300028034,,,,,,,,21.657619200006593,21.672123300028034,21.672123300028034,21.672123300028034,0.0019275000086054206,25.774676500004716,laptop,[-0.025],[-0.3037037037037037],[1],[0],[0],[4.114808899990749],['submit'],,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
,_o_rd,,,,,0,2,2,4,25.788830199977383,,,,,,,,25.775171599991154,25.788830199977383,25.788830199977383,25.788830199977383,0.0017800000496208668,38.47373319999315,board,[-0.025],[-0.3037037037037037],[1],[0],[0],[12.696453300013673],['submit'],35.788458099996205,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
,c_s_io_,,,,,0,3,3,1,38.48885289998725,,,,,,,,38.47422919998644,38.48885289998725,38.48885289998725,38.48885289998725,0.0019459999748505652,47.739791799976956,cushion,[-0.014814814814814815],[-0.30925925925925923],[1],[0],[0],[9.263221799978055],['submit'],,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
,bo_t_e,,,,,0,4,4,18,47.75514030002523,,,,,,,,47.74029089999385,47.75514030002523,47.75514030002523,47.75514030002523,0.0018087999778799713,53.05608529999154,bottle,[-0.014814814814814815],[-0.30925925925925923],[1],[0],[0],[5.313580000016373],['submit'],,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
,p_nc_l,,,,,0,5,5,16,53.07208489999175,,,,,,,,53.05657999997493,53.07208489999175,53.07208489999175,53.07208489999175,0.0019391999812796712,56.4729939000099,pencil,[-0.014814814814814815],[-0.30925925925925923],[1],[0],[0],[3.4140271000214852],['submit'],,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
,_ou_e,,,,,0,6,6,8,56.48838210001122,,,,,,,,56.47349559998838,56.48838210001122,56.48838210001122,56.48838210001122,0.001787999994121492,60.03952250001021,house,[-0.014814814814814815],[-0.30925925925925923],[1],[0],[0],[3.563737599994056],['submit'],,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
,_ho_e,,,,,0,7,7,2,60.05540110002039,,,,,,,,60.040270299999975,60.05540110002039,60.05540110002039,60.05540110002039,0.001778300036676228,65.5405556000187,whole,[-0.014814814814814815],[-0.30925925925925923],[1],[0],[0],[5.49781669996446],['submit'],,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
,_ha_t,,,,,0,8,8,6,65.55580570001621,,,,,,,,65.54111689998535,65.55580570001621,65.55580570001621,65.55580570001621,0.0017756999586708844,78.48992429999635,chart,[-0.014814814814814815],[-0.30925925925925923],[1],[0],[0],[12.946653400023934],['submit'],75.5556285000057,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
,k_y_,,,,,0,9,9,13,78.50568780000322,,,,,,,,78.49045049998676,78.50568780000322,78.50568780000322,78.50568780000322,0.0020477999933063984,81.9072844000184,keys,[-0.014814814814814815],[-0.30925925925925923],[1],[0],[0],[3.414420700049959],['submit'],,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
,p_li_e,,,,,0,10,10,12,81.92289330001222,,,,,,,,81.90780889999587,81.92289330001222,81.92289330001222,81.92289330001222,0.0021176000009290874,84.57396670000162,police,[-0.014814814814814815],[-0.30925925925925923],[1],[0],[0],[2.663563600042835],['submit'],,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
,v_s_,,,,,0,11,11,17,84.58965749997878,,,,,,,,84.57447870000033,84.58965749997878,84.58965749997878,84.58965749997878,0.003123299975413829,87.55778460000874,vase,[-0.014814814814814815],[-0.30925925925925923],[1],[0],[0],[2.979456899978686],['submit'],,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
,_oo_,,,,,0,12,12,0,87.57303670002148,,,,,,,,87.55830680002691,87.57303670002148,87.57303670002148,87.57303670002148,0.0016544999671168625,91.52638220001245,hook,[-0.014814814814814815],[-0.30925925925925923],[1],[0],[0],[3.966029000002891],['submit'],,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
,p_st_y,,,,,0,13,13,9,91.53946890000952,,,,,,,,91.5268814000301,91.53946890000952,91.53946890000952,91.53946890000952,0.0018094999832101166,95.49162310000975,pastry,[-0.014814814814814815],[-0.30925925925925923],[1],[0],[0],[3.9625706000369973],['submit'],,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
,_a_ble,,,,,0,14,14,3,95.5058951000101,,,,,,,,95.49211980000837,95.5058951000101,95.5058951000101,95.5058951000101,0.0018073000246658921,100.07418220001273,cable,[-0.014814814814814815],[-0.30925925925925923],[1],[0],[0],[4.579787899972871],['submit'],,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
,p_st_r,,,,,0,15,15,14,100.0893769999966,,,,,,,,100.07468610000797,100.0893769999966,100.0893769999966,100.0893769999966,0.0018094999832101166,107.45782190002501,poster,[-0.014814814814814815],[-0.30925925925925923],[1],[0],[0],[7.380558600008953],['submit'],,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
,ta_l_,,,,,0,16,16,15,107.47297920001438,,,,,,,,107.45836450002389,107.47297920001438,107.47297920001438,107.47297920001438,0.0018109999946318567,116.8407127999817,table,[-0.014814814814814815],[-0.30925925925925923],[1],[0],[0],[9.380034799978603],['submit'],,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
,c_m_ra,,,,,0,17,17,19,116.856217499997,,,,,,,,116.8412413999904,116.856217499997,116.856217499997,116.856217499997,0.0018562000477686524,119.89062299998477,camera,[-0.014814814814814815],[-0.30925925925925923],[1],[0],[0],[3.0469461999600753],['submit'],,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
,_r_is_,,,,,0,18,18,11,119.90661000000546,,,,,,,,119.8915598000167,119.90661000000546,119.90661000000546,119.90661000000546,0.002134900016244501,122.87459319998743,cruise,[-0.014814814814814815],[-0.30925925925925923],[1],[0],[0],[2.980530300003011],['submit'],,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
,c_s_,,,,,0,19,19,10,122.8895468999981,,,,,,,,122.87509139999747,122.8895468999981,122.8895468999981,122.8895468999981,0.001640500035136938,128.52433440001914,cast,[-0.014814814814814815],[-0.30925925925925923],[1],[0],[0],[5.647152899997309],['submit'],,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
