study_word,test_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Study_Phase.started,StudyText.started,Studyslider.started,Study_Phase.stopped,Studyslider.response,Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit.started,testmouse.started,Test_Phase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
T-shirt,,0,0,0,7,,,,,0.07615430001169443,,0.03619960002833977,0.07615430001169443,0.07615430001169443,2.1538241999805905,1.0962962962962963,2.0917983999825083,,,,,,,,,,,,,,,,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
chart,,0,1,1,6,,,,,2.175981000007596,,2.156044200004544,2.175981000007596,2.175981000007596,2.8121923999860883,1.0962962962962963,0.6331787999952212,,,,,,,,,,,,,,,,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
phone,,0,2,2,2,,,,,2.8321748999878764,,2.812421499984339,2.8321748999878764,2.8321748999878764,3.3527412000112236,1.0962962962962963,0.5160816999850795,,,,,,,,,,,,,,,,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
board,,0,3,3,4,,,,,3.372523400001228,,3.3529974999837577,3.372523400001228,3.372523400001228,4.442488299973775,1.8555555555555556,1.066803699999582,,,,,,,,,,,,,,,,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
cruise,,0,4,4,11,,,,,4.464218400011305,,4.442718699981924,4.464218400011305,4.464218400011305,4.667025699978694,1.8555555555555556,0.20311230001971126,,,,,,,,,,,,,,,,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
cushion,,0,5,5,1,,,,,4.685319199983496,,4.667265700001735,4.685319199983496,4.685319199983496,5.821163400018122,2.9037037037037035,1.1340222000144422,,,,,,,,,,,,,,,,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
marble,,0,6,6,3,,,,,5.839620299986564,,5.821396799990907,5.839620299986564,5.839620299986564,7.259149299992714,4.018518518518519,1.4159847000264563,,,,,,,,,,,,,,,,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
poster,,0,7,7,14,,,,,7.277227899990976,,7.259380100003909,7.277227899990976,7.277227899990976,8.375729700026568,3.0555555555555554,1.093350300041493,,,,,,,,,,,,,,,,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
book,,0,8,8,0,,,,,8.402221199998166,,8.375966100022197,8.402221199998166,8.402221199998166,9.438871300022583,2.0185185185185186,1.041777300008107,,,,,,,,,,,,,,,,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
mouse,,0,9,9,8,,,,,9.458987599995453,,9.439208000025246,9.458987599995453,9.458987599995453,10.528773199999705,1,1.067521199991461,,,,,,,,,,,,,,,,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
laptop,,0,10,10,5,,,,,10.546817500027828,,10.529006200027652,10.546817500027828,10.546817500027828,11.532753199979197,2.0555555555555554,0.9829893999849446,,,,,,,,,,,,,,,,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
keys,,0,11,11,13,,,,,11.571709199983161,,11.532982899982017,11.571709199983161,11.571709199983161,12.141674800019246,2.0555555555555554,0.5739960999926552,,,,,,,,,,,,,,,,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
police,,0,12,12,12,,,,,12.15951969998423,,12.141909300000407,12.15951969998423,12.15951969998423,12.929976599989459,2.9444444444444446,0.7666469999821857,,,,,,,,,,,,,,,,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
pastry,,0,13,13,9,,,,,12.947957299998961,,12.930219399975613,12.947957299998961,12.947957299998961,13.984468400012702,3.914814814814815,1.0343687999993563,,,,,,,,,,,,,,,,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
case,,0,14,14,10,,,,,14.002413999987766,,13.984698900021613,14.002413999987766,14.002413999987766,16.22231510002166,3.011111111111111,2.2169652999727987,,,,,,,,,,,,,,,,114,001,2024-10-25_12h11.22.966,untitled,2024.1.5,None,2024-10-25 12h11.36.543852 +0530,
