trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.14056150009855628,,0.03357010008767247,10,0.14056150009855628,0.14056150009855628,0.09585950011387467,1.1724761999212205,2.145115500316024,[0.14666666666666667],[-0.445],[1],[0],[0],[2.0481368000619113],['target'],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
1,0,1,0,2.200566300190985,,2.152071800082922,10,2.200566300190985,2.200566300190985,0.034738400019705296,3.239218800328672,3.576125599909574,[-0.075],[0.29],[1],[0],[0],[1.3898616000078619],['target'],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
2,0,2,0,3.6065495000220835,,3.580634499900043,5,3.6065495000220835,3.6065495000220835,0.017030700109899044,4.608083500061184,5.12593450024724,[-0.23],[0.17166666666666666],[1],[0],[0],[1.5286671998910606],['target'],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
3,0,3,0,5.172246499918401,,5.1341460002586246,5,5.172246499918401,5.172246499918401,0.027843100018799305,6.1744158999063075,6.2927920003421605,[-0.44666666666666666],[0.305],[1],[0],[0],[1.1320478999987245],['target'],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
4,0,4,0,6.346476800274104,,6.297337499912828,10,6.346476800274104,6.346476800274104,0.03515279991552234,7.372600100003183,7.740753300022334,[0.46],[-0.31333333333333335],[1],[0],[0],[1.4084895998239517],['target'],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
5,0,5,0,7.7958194999955595,,7.748698099981993,5,7.7958194999955595,7.7958194999955595,0.03200159966945648,8.80737610021606,9.126694700215012,[0.08],[0.09],[1],[0],[0],[1.3472283002920449],['target'],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
6,0,6,0,9.18245410034433,,9.131563500035554,10,9.18245410034433,9.18245410034433,0.035757599864155054,10.207261300180107,10.407978300005198,[-0.20333333333333334],[-0.44333333333333336],[1],[0],[0],[1.2411494003608823],[],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
7,0,7,0,10.46411560010165,,10.412526600062847,10,10.46411560010165,10.46411560010165,0.037112100049853325,11.489486200269312,11.657554400153458,[-0.38],[-0.2683333333333333],[1],[0],[0],[1.2082821000367403],[],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
8,0,8,0,11.789435100276023,,11.665941500104964,10,11.789435100276023,11.789435100276023,0.060730500146746635,12.806499500293285,13.124727000016719,[0.45666666666666667],[-0.26666666666666666],[1],[0],[0],[1.399113700259477],[],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
9,0,9,0,13.179505900014192,,13.132962000090629,5,13.179505900014192,13.179505900014192,0.03150520008057356,14.19061590032652,15.107880900148302,[-0.3566666666666667],[0.405],[1],[0],[0],[1.9443474002182484],[],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
10,0,10,0,15.20628760010004,,15.115720400121063,10,15.20628760010004,15.20628760010004,0.05920850019901991,16.244916799943894,16.190583900082856,[0.325],[0.44],[1],[0],[0],[1.0167462998069823],[],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
11,0,11,0,16.244916799943894,,16.198737100232393,5,16.244916799943894,16.244916799943894,0.0323084001429379,,17.043764700181782,[-0.185],[0.1],[1],[0],[0],[0.8137043002061546],[],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
12,0,12,0,17.13211160013452,,17.051588899921626,10,17.13211160013452,17.13211160013452,0.058322499971836805,18.15587730007246,18.29072550032288,[-0.315],[0.04],[1],[0],[0],[1.1819310998544097],['target'],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
13,0,13,0,18.382476600352675,,18.299122500233352,10,18.382476600352675,18.382476600352675,0.06099530030041933,19.406022100243717,19.47557030012831,[0.3],[0.09],[1],[0],[0],[1.1163972998037934],['target'],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
14,0,14,0,19.529063700232655,,19.483806900214404,5,19.529063700232655,19.529063700232655,0.031249199993908405,,20.393362400121987,[-0.025],[0.09666666666666666],[1],[0],[0],[0.8791883997619152],['target'],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
15,0,15,0,20.47397940000519,,20.40146890003234,10,20.47397940000519,20.47397940000519,0.05740110017359257,21.47372360015288,21.641185500193387,[0.435],[0.35],[1],[0],[0],[1.1835934999398887],['target'],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
16,0,16,0,21.67458280036226,,21.646027700044215,5,21.67458280036226,21.67458280036226,0.019806900061666965,22.69101360021159,22.97628840012476,[0.028333333333333332],[0.495],[1],[0],[0],[1.3110140999779105],['target'],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
17,0,17,0,23.042892900295556,,22.9845484001562,10,23.042892900295556,23.042892900295556,0.04557229997590184,24.056876100134104,24.12713810009882,[0.23],[0.3233333333333333],[1],[0],[0],[1.0984423998743296],['target'],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
18,0,18,0,24.159444900229573,,24.131717800162733,5,24.159444900229573,24.159444900229573,0.018813000060617924,25.194042100105435,25.160399100277573,[0.085],[-0.215],[1],[0],[0],[1.010407599620521],[],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
19,0,19,0,25.194042100105435,,25.164909600280225,5,25.194042100105435,25.194042100105435,0.020010599866509438,26.2078256001696,26.460755300242454,[-0.24333333333333335],[0.24166666666666667],[1],[0],[0],[1.2761388001963496],['target'],P4,001,2024-10-10_19h13.35.410,visual search task,2024.1.5,None,2024-10-10 19h13.54.150253 +0530,
