trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
58,0,58,0,137.32184869999764,,137.26953699998558,10,137.32184869999764,137.32184869999764,0.03680619999067858,139.07405970001128,[0.10807291666666667],[0.2994791666666667],[1],[0],[0],[1.7681636000052094],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
59,0,59,0,139.139924899966,,139.08006680000108,10,139.139924899966,139.139924899966,0.04218140000011772,141.72228529996937,[-0.03125],[-0.22395833333333334],[1],[0],[0],[2.600541199964937],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
60,0,60,0,141.78403849998722,,141.7282793999766,10,141.78403849998722,141.78403849998722,0.043431000027339906,144.05269199999748,[-0.4010416666666667],[0.036458333333333336],[1],[0],[0],[2.2822163999662735],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
61,0,61,0,144.10080889996607,,144.05565160000697,10,144.10080889996607,144.10080889996607,0.033521999954245985,145.83945530001074,[-0.4114583333333333],[-0.07421875],[1],[0],[0],[1.750325699977111],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
62,0,62,0,145.92184069997165,,145.84674569999333,10,145.92184069997165,145.92184069997165,0.05354839999927208,148.43221070000436,[0.024739583333333332],[-0.3177083333333333],[1],[0],[0],[2.5329927999991924],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
63,0,63,0,148.5042195999995,,148.4386630000081,10,148.5042195999995,148.5042195999995,0.05127280001761392,150.7179953000159,[-0.390625],[0.16666666666666666],[1],[0],[0],[2.2288960000150837],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
64,0,64,0,150.74730139999883,,150.72110029996838,5,150.74730139999883,150.74730139999883,0.01795389998005703,152.2494320999831,[-0.0013020833333333333],[0.37109375],[1],[0],[0],[1.5104228999698535],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
65,0,65,0,152.33662099996582,,152.25688449997688,10,152.33662099996582,152.33662099996582,0.05208910000510514,153.7030447999714,[0.2552083333333333],[0.3463541666666667],[1],[0],[0],[1.395122200017795],[],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
66,0,66,0,153.76568179996684,,153.70705689996248,10,153.76568179996684,153.76568179996684,0.0468068000045605,156.31571539997822,[-0.06510416666666667],[0.4830729166666667],[1],[0],[0],[2.5620682999724522],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
67,0,67,0,156.39212829997996,,156.32142260001274,10,156.39212829997996,156.39212829997996,0.054722600034438074,158.83047659997828,[0.44921875],[0.024739583333333332],[1],[0],[0],[2.4554094999912195],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
68,0,68,0,158.8808466999908,,158.83468959998572,10,158.8808466999908,158.8808466999908,0.03468470001826063,161.36702249996597,[-0.033854166666666664],[-0.4205729166666667],[1],[0],[0],[2.4978681999491528],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
69,0,69,0,161.448303400015,,161.37401339999633,10,161.448303400015,161.448303400015,0.05376400001114234,163.73829539999133,[-0.057291666666666664],[0.07552083333333333],[1],[0],[0],[2.311649200040847],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
70,0,70,0,163.7990715999622,,163.74123499996495,10,163.7990715999622,163.7990715999622,0.04165670002112165,165.3699765999918,[0.48046875],[0.23828125],[1],[0],[0],[1.5870389000046998],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
71,0,71,0,165.41695769998478,,165.3770855999901,5,165.41695769998478,165.41695769998478,0.03017709997948259,168.4844306000159,[-0.2578125],[-0.16796875],[1],[0],[0],[3.078382000036072],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
72,0,72,0,168.51874699996551,,168.48923730000388,5,168.51874699996551,168.51874699996551,0.021048900031019002,170.33399559999816,[-0.4479166666666667],[0.20572916666666666],[1],[0],[0],[1.8242936999886297],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
73,0,73,0,170.4162335000001,,170.3391231999849,10,170.4162335000001,170.4162335000001,0.05356739996932447,172.5324695999734,[0.4388020833333333],[-0.018229166666666668],[1],[0],[0],[2.140273500001058],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
74,0,74,0,172.5984088999685,,172.53696830000263,10,172.5984088999685,172.5984088999685,0.04351889999816194,175.23523559997557,[-0.40234375],[-0.1875],[1],[0],[0],[2.6551740000140853],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
75,0,75,0,175.28773629997158,,175.24051520001376,5,175.28773629997158,175.28773629997158,0.031016700027976185,177.76846589997876,[-0.009114583333333334],[-0.2643229166666667],[1],[0],[0],[2.4977001000079326],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
76,0,76,0,177.80973280000035,,177.7741158999852,5,177.80973280000035,177.80973280000035,0.022966999968048185,179.5354411000153,[0.22265625],[-0.4427083333333333],[1],[0],[0],[1.7389154999982566],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
