trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.10747870011255145,,0.03135649999603629,10,0.10747870011255145,0.10747870011255145,0.0750238997861743,1.1077346000820398,2.310686499811709,[-0.19166666666666668],[-0.4216666666666667],[1],[0],[0],[2.2349062003195286],['target'],P1,001,2024-10-10_19h50.19.137,visual search task,2024.1.5,None,2024-10-10 19h50.31.463487 +0530,
1,0,1,0,2.338185000233352,,2.3152538002468646,5,2.338185000233352,2.338185000233352,0.014165299944579601,3.3407145999372005,4.7749573001638055,[0.445],[-0.46166666666666667],[1],[0],[0],[2.445659799966961],['target'],P1,001,2024-10-10_19h50.19.137,visual search task,2024.1.5,None,2024-10-10 19h50.31.463487 +0530,
2,0,2,0,4.821864199824631,,4.77778030000627,10,4.821864199824631,4.821864199824631,0.0249802996404469,5.82386999996379,6.489911399781704,[0.43],[0.23666666666666666],[1],[0],[0],[1.6873530000448227],['target'],P1,001,2024-10-10_19h50.19.137,visual search task,2024.1.5,None,2024-10-10 19h50.31.463487 +0530,
3,0,3,0,6.521989299915731,,6.492794900201261,5,6.521989299915731,6.521989299915731,0.015300099737942219,7.525983300060034,9.641644100192934,[-0.3233333333333333],[-0.3983333333333333],[1],[0],[0],[3.133669499773532],[],P1,001,2024-10-10_19h50.19.137,visual search task,2024.1.5,None,2024-10-10 19h50.31.463487 +0530,
4,0,4,0,9.674630700144917,,9.644515399821103,5,9.674630700144917,9.674630700144917,0.014914100058376789,10.691147100180387,11.293155800085515,[0.28],[-0.04666666666666667],[1],[0],[0],[1.6340169003233314],['target'],P1,001,2024-10-10_19h50.19.137,visual search task,2024.1.5,None,2024-10-10 19h50.31.463487 +0530,
5,0,5,0,11.322334399912506,,11.29598530009389,5,11.322334399912506,11.322334399912506,0.01359659992158413,12.324370800051838,12.692415200173855,[0.205],[0.15833333333333333],[1],[0],[0],[1.3831193000078201],['target'],P1,001,2024-10-10_19h50.19.137,visual search task,2024.1.5,None,2024-10-10 19h50.31.463487 +0530,
6,0,6,0,12.744201300200075,,12.695214199833572,10,12.744201300200075,12.744201300200075,0.025345600210130215,13.758511300198734,14.358517699874938,[-0.20833333333333334],[-0.051666666666666666],[1],[0],[0],[1.637994599994272],['target'],P1,001,2024-10-10_19h50.19.137,visual search task,2024.1.5,None,2024-10-10 19h50.31.463487 +0530,
7,0,7,0,14.405223799869418,,14.361753600183874,10,14.405223799869418,14.405223799869418,0.023052799981087446,15.423376299906522,16.04385480005294,[0.041666666666666664],[-0.15166666666666667],[1],[0],[0],[1.6592333000153303],['target'],P1,001,2024-10-10_19h50.19.137,visual search task,2024.1.5,None,2024-10-10 19h50.31.463487 +0530,
8,0,8,0,16.088462200015783,,16.04844949999824,5,16.088462200015783,16.088462200015783,0.019303100183606148,17.09135189978406,18.741584400180727,[0.10333333333333333],[0.42833333333333334],[1],[0],[0],[2.6743532000109553],['target'],P1,001,2024-10-10_19h50.19.137,visual search task,2024.1.5,None,2024-10-10 19h50.31.463487 +0530,
9,0,9,0,18.80767389992252,,18.74605379998684,10,18.80767389992252,18.80767389992252,0.0370661998167634,19.858425099868327,20.50894090021029,[0.41],[-0.006666666666666667],[1],[0],[0],[1.7260006996802986],['target'],P1,001,2024-10-10_19h50.19.137,visual search task,2024.1.5,None,2024-10-10 19h50.31.463487 +0530,
