delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
0.7,1000,exp,0,0,0,11,0.0286440000054426,,0.0218046999943908,0.0286440000054426,1.0118281999894,1.0118281999894,1.0283414000005,1.55046979998588,space,0.518447600014042,None,1.55578979998245,2.26180636664891,2.59249690000433,2.55946769998991,2.55949660000624,2.59249690000433,2.59249690000433,2.59249690000433,9.21860110000125,300,1,[6.657458900008351],[6.657465399999637],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.7,400,unexp,0,1,1,2,9.2334378999949,,9.22696489997907,9.2334378999949,10.2333665000042,10.2333665000042,10.2333665000042,10.8341989000037,space,0.594965900003444,None,10.8359861999925,11.5504045666642,11.8602448999882,11.8493795999966,11.8494006999827,11.8602448999882,11.8602448999882,11.8602448999882,14.5793031000067,300,1,[2.7288759000075515],[2.7288813999912236],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.4,1000,exp,0,2,2,4,14.5950367999903,,14.5828486999962,14.5950367999903,15.5947760999843,15.5947760999843,15.5947760999843,15.9129195999994,space,0.310028799984138,None,15.9149117000052,16.3285618666598,16.6418804999848,16.6294998999801,16.6295198999869,16.6418804999848,16.6418804999848,16.6418804999848,18.545710699982,400,1,[1.9150054999918211],[1.9150132999930065],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.4,1000,exp,0,3,3,10,18.5604480000038,,18.5493583999923,18.5604480000038,19.5601940999914,19.5601940999914,19.5601940999914,20.0446600999858,space,0.47545299999183,None,20.0464019000065,20.4601153666483,20.7700731999939,20.7593633999932,20.7593852999853,20.7700731999939,20.7700731999939,20.7700731999939,23.1400497999857,300,1,[2.379578899999615],[2.379584699985571],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.1,1000,exp,0,4,4,3,23.154885099997,,23.1435384000069,23.154885099997,24.1547119999886,24.1547119999886,24.1547119999886,24.6725177000044,space,0.509011200017994,None,24.6746189999976,24.7878298666658,25.1016488999885,25.0894624000066,25.0894818999805,25.1016488999885,25.1016488999885,25.1016488999885,29.438969299983,500,1,[4.348389200022211],[4.348395200009691],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.4,400,unexp,0,5,5,1,29.4531841999851,,29.4424176999892,29.4531841999851,30.4532583999971,30.4532583999971,30.4532583999971,30.8705011999991,space,0.41515580000123,None,30.8722389999893,31.2865524666597,31.611548099987,31.5893686999916,31.5893852000008,31.611548099987,31.611548099987,31.611548099987,37.4463948000048,500,1,[5.855856700014556],[5.855862900003558],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.1,400,unexp,0,6,6,0,37.4616032000049,,37.4498440999887,37.4616032000049,38.4617126999947,38.4617126999947,38.4617126999947,38.7795210999902,space,0.310268799978076,None,38.7812929000065,38.8952083666557,39.2006263999792,39.1893615000008,39.1893802999984,39.2006263999792,39.2006263999792,39.2006263999792,42.1845555999898,500,1,[2.994082899997011],[2.994087800005218],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.7,1000,exp,0,7,7,8,42.2004422000027,,42.1880365999823,42.2004422000027,43.2004487999948,43.2004487999948,43.2004487999948,43.6011855999823,space,0.393652900005691,None,43.6029343999981,44.3169310666601,44.6419630000019,44.6194192999974,44.6194374999905,44.6419630000019,44.6419630000019,44.6419630000019,47.926076600008,300,1,[3.3056319000024814],[3.305637699988438],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.1,1000,exp,0,8,8,6,47.9421381999855,,47.9295706999837,47.9421381999855,48.9418280999817,48.9418280999817,48.9418280999817,50.1763473000028,space,1.22531249999884,None,50.1781060000067,50.291819566661,50.6007743999944,50.5893349999969,50.5893570999906,50.6007743999944,50.6007743999944,50.6007743999944,53.1527172999922,300,1,[2.5622779999976046],[2.5622845999896526],49.9421342999849,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.1,1000,exp,0,9,9,9,53.1670003999898,,53.1561657999991,53.1670003999898,54.1670453999832,54.1670453999832,54.1670453999832,56.8183645999816,space,2.63484020001488,None,56.8203386999958,56.9337502666497,57.240409799997,57.2292151000002,57.2292336999963,57.240409799997,57.240409799997,57.240409799997,59.474655500002,900,1,[2.2444121000007726],[2.2444172000105027],55.166980399983,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
