delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,1000,exp,0,0,0,5,0.05907580000348389,,0.03229570001713,0.05907580000348389,1.0065391000243835,1.0065391000243835,1.073453300021356,1.6802373000246007,space,0.6647059000097215,None,1.6867444000090472,2.391585666690177,2.71686650000629,2.6863070000254083,2.6863317000097595,2.71686650000629,2.71686650000629,2.71686650000629,8.905388800019864,"200
",1,[6.21752160001779],[6.2175270000007],,p1,001,2024-11-14_13h33.05.324,intentional binding,2024.1.5,None,2024-11-14 13h33.20.148933 +0530,
0.1,1000,exp,0,1,1,6,8.92318160002469,,8.915175200003432,8.92318160002469,9.922554400021909,9.922554400021909,9.922554400021909,11.273522100003902,space,1.3453937000012957,None,11.275311400007922,11.388967966664739,11.69742920002318,11.686249700025655,11.68627400000696,11.69742920002318,11.69742920002318,11.69742920002318,14.87095800001407,300,1,[3.183436699997401],[3.183450900018215],10.922559700004058,p1,001,2024-11-14_13h33.05.324,intentional binding,2024.1.5,None,2024-11-14 13h33.20.148933 +0530,
0.4,1000,exp,0,2,2,10,14.886476300016511,,14.874460799997905,14.886476300016511,15.886329400003888,15.886329400003888,15.886329400003888,18.10373860000982,space,2.213542800018331,None,18.105520200013416,18.519741866683276,18.828968800022267,18.816125500015914,18.816152100014733,18.828968800022267,18.828968800022267,18.828968800022267,20.99594180000713,400,1,[2.178297200007364],[2.1783030000224244],16.887133400014136,p1,001,2024-11-14_13h33.05.324,intentional binding,2024.1.5,None,2024-11-14 13h33.20.148933 +0530,
0.7,1000,exp,0,3,3,11,21.01158290001331,,20.999421500018798,21.01158290001331,22.011308300017845,22.011308300017845,22.011308300017845,22.545841200015275,space,0.520651300001191,None,22.547805300011532,23.261251766675073,23.566893000010168,23.555928300018422,23.55594820002443,23.566893000010168,23.566893000010168,23.566893000010168,25.718486700003268,400,1,[2.1615198999934364],[2.1615264999854844],,p1,001,2024-11-14_13h33.05.324,intentional binding,2024.1.5,None,2024-11-14 13h33.20.148933 +0530,
0.1,1000,exp,0,4,4,3,25.733471700019436,,25.721947700018063,25.733471700019436,26.73369810002623,26.73369810002623,26.73369810002623,27.201403900020523,space,0.46337330000824295,None,27.203201500000432,27.316833266672134,27.627161100012017,27.615848300018115,27.615869100001873,27.627161100012017,27.627161100012017,27.627161100012017,30.013322100014193,400,1,[2.395873900008155],[2.395880900003249],,p1,001,2024-11-14_13h33.05.324,intentional binding,2024.1.5,None,2024-11-14 13h33.20.148933 +0530,
0.4,1000,exp,0,5,5,7,30.028305500018178,,30.016846800019266,30.028305500018178,31.028198100015288,31.028198100015288,31.028198100015288,31.39598030000343,space,0.35043940000468865,None,31.397843400016427,31.811252166666478,32.12507700000424,32.106015299999854,32.106050200003665,32.12507700000424,32.12507700000424,32.12507700000424,35.59328060000553,400,1,[3.4855825999984518],[3.485594099998707],,p1,001,2024-11-14_13h33.05.324,intentional binding,2024.1.5,None,2024-11-14 13h33.20.148933 +0530,
0.4,1000,exp,0,6,6,4,35.60859380001784,,35.59681119999732,35.60859380001784,36.60835790002602,36.60835790002602,36.60835790002602,37.09311840002192,space,0.47093999999924563,None,37.094905100006144,37.50854086666756,37.816888400004245,37.805976700008614,37.80601110000862,37.816888400004245,37.816888400004245,37.816888400004245,40.467185500019696,200,1,[2.659963100013556],[2.6599685000255704],,p1,001,2024-11-14_13h33.05.324,intentional binding,2024.1.5,None,2024-11-14 13h33.20.148933 +0530,
0.4,400,unexp,0,7,7,1,40.48318239999935,,40.47127660000115,40.48318239999935,41.483427300001495,41.483427300001495,41.483427300001495,43.41779820001102,space,1.9284282999869902,None,43.41957340002409,43.833296666682386,44.15829660001327,44.135956200014334,44.13598490000004,44.15829660001327,44.15829660001327,44.15829660001327,49.792519100010395,300,1,[5.6553466000186745],[5.655352100002347],42.48314680001931,p1,001,2024-11-14_13h33.05.324,intentional binding,2024.1.5,None,2024-11-14 13h33.20.148933 +0530,
0.1,400,unexp,0,8,8,0,49.80813850002596,,49.796039100008784,49.80813850002596,50.80848220002372,50.80848220002372,50.80848220002372,52.92634160001762,space,2.108396800002083,None,52.928113500005566,53.04182496667296,53.34739400001126,53.33577190001961,53.33579230000032,53.34739400001126,53.34739400001126,53.34739400001126,58.19990200002212,800,1,[4.862835700012511],[4.86284820002038],51.80851420000545,p1,001,2024-11-14_13h33.05.324,intentional binding,2024.1.5,None,2024-11-14 13h33.20.148933 +0530,
,,,,,,,58.21499130001757,,58.2033386999974,58.21499130001757,59.215079700021306,59.215079700021306,59.215079700021306,60.93304010000429,space,1.7024340000061784,None,60.934792500018375,61.64851136668973,61.95657609999762,61.94594850001158,61.945970900007524,61.95657609999762,61.95657609999762,61.95657609999762,,,,,,60.21493260000716,,,,,,,,
